threshold,precision,recall,f1,flagged_rate,expected_cost_per_1000,tp,fp,fn,tn
0.72,0.8108108108108109,0.0398936170212766,0.07604562737642585,0.003288888888888889,642.4,60,14,1444,20982
0.73,0.8108108108108109,0.0398936170212766,0.07604562737642585,0.003288888888888889,642.4,60,14,1444,20982
0.74,0.8108108108108109,0.0398936170212766,0.07604562737642585,0.003288888888888889,642.4,60,14,1444,20982
0.75,0.8108108108108109,0.0398936170212766,0.07604562737642585,0.003288888888888889,642.4,60,14,1444,20982
0.76,0.8108108108108109,0.0398936170212766,0.07604562737642585,0.003288888888888889,642.4,60,14,1444,20982
0.77,0.8108108108108109,0.0398936170212766,0.07604562737642585,0.003288888888888889,642.4,60,14,1444,20982
0.78,0.8461538461538461,0.021941489361702128,0.04277381723914452,0.0017333333333333333,654.0444444444445,33,6,1471,20990
0.79,0.8461538461538461,0.021941489361702128,0.04277381723914452,0.0017333333333333333,654.0444444444445,33,6,1471,20990
0.8,0.8461538461538461,0.021941489361702128,0.04277381723914452,0.0017333333333333333,654.0444444444445,33,6,1471,20990
0.81,0.8461538461538461,0.021941489361702128,0.04277381723914452,0.0017333333333333333,654.0444444444445,33,6,1471,20990
0.8200000000000001,0.8461538461538461,0.021941489361702128,0.04277381723914452,0.0017333333333333333,654.0444444444445,33,6,1471,20990
0.8300000000000001,0.8461538461538461,0.021941489361702128,0.04277381723914452,0.0017333333333333333,654.0444444444445,33,6,1471,20990
0.84,0.8461538461538461,0.021941489361702128,0.04277381723914452,0.0017333333333333333,654.0444444444445,33,6,1471,20990
0.85,1.0,0.0006648936170212766,0.00132890365448505,4.4444444444444447e-05,668.0,1,0,1503,20996
0.86,1.0,0.0006648936170212766,0.00132890365448505,4.4444444444444447e-05,668.0,1,0,1503,20996
0.87,1.0,0.0006648936170212766,0.00132890365448505,4.4444444444444447e-05,668.0,1,0,1503,20996
0.88,1.0,0.0006648936170212766,0.00132890365448505,4.4444444444444447e-05,668.0,1,0,1503,20996
0.89,1.0,0.0006648936170212766,0.00132890365448505,4.4444444444444447e-05,668.0,1,0,1503,20996
0.9,1.0,0.0006648936170212766,0.00132890365448505,4.4444444444444447e-05,668.0,1,0,1503,20996
0.91,1.0,0.0006648936170212766,0.00132890365448505,4.4444444444444447e-05,668.0,1,0,1503,20996
0.92,1.0,0.0006648936170212766,0.00132890365448505,4.4444444444444447e-05,668.0,1,0,1503,20996
0.93,1.0,0.0006648936170212766,0.00132890365448505,4.4444444444444447e-05,668.0,1,0,1503,20996
0.9400000000000001,1.0,0.0006648936170212766,0.00132890365448505,4.4444444444444447e-05,668.0,1,0,1503,20996
0.9500000000000001,1.0,0.0006648936170212766,0.00132890365448505,4.4444444444444447e-05,668.0,1,0,1503,20996
0.96,1.0,0.0006648936170212766,0.00132890365448505,4.4444444444444447e-05,668.0,1,0,1503,20996
0.97,1.0,0.0006648936170212766,0.00132890365448505,4.4444444444444447e-05,668.0,1,0,1503,20996
0.98,1.0,0.0006648936170212766,0.00132890365448505,4.4444444444444447e-05,668.0,1,0,1503,20996
0.99,1.0,0.0006648936170212766,0.00132890365448505,4.4444444444444447e-05,668.0,1,0,1503,20996
